Name,Total 3P Made,Total 3P Att,Total 3P%,Cold 3P Made,Cold 3P Att,Cold 3P%,Hot 3P Made,Hot 3P Att,Hot 3P%,Hot/Cold Diff,Hot Shot Makeup
carmelo anthony,151,421,35.86698337292161,133,370,35.945945945945944,18,51,35.294117647058826,-0.6518282988871178,12.114014251781473
manny harris,0,2,0,0,2,0,0,0,0,0,0
vince carter,112,296,37.83783783783784,98,264,37.121212121212125,14,32,43.75,6.628787878787875,10.81081081081081
caris levert,59,184,32.065217391304344,55,174,31.60919540229885,4,10,40,8.390804597701148,5.434782608695652
duane ferrell,0,0,0,0,0,0,0,0,0,0,0
ron baker,23,86,26.744186046511626,21,81,25.925925925925924,2,5,40,14.074074074074076,5.813953488372093
darren collison,73,175,41.714285714285715,68,160,42.5,5,15,33.33333333333333,-9.166666666666671,8.571428571428571
ed pinckney,0,0,0,0,0,0,0,0,0,0,0
evan turner,31,118,26.27118644067797,29,113,25.663716814159294,2,5,40,14.336283185840706,4.23728813559322
joe dumars,0,0,0,0,0,0,0,0,0,0,0
lebron james,124,342,36.25730994152047,107,289,37.0242214532872,17,53,32.075471698113205,-4.948749755173992,15.497076023391813
wilson chandler,110,326,33.74233128834356,101,296,34.12162162162162,9,30,30,-4.121621621621621,9.202453987730062
aaron harrison,0,2,0,0,2,0,0,0,0,0,0
david benoit,0,0,0,0,0,0,0,0,0,0,0
deron williams,85,234,36.324786324786324,78,211,36.96682464454976,7,23,30.434782608695656,-6.532042035854104,9.82905982905983
james michael mcadoo,2,8,25,2,6,33.33333333333333,0,2,0,-33.33333333333333,25
pervis ellison,0,0,0,0,0,0,0,0,0,0,0
james harden,262,756,34.65608465608466,225,645,34.883720930232556,37,111,33.33333333333333,-1.5503875968992276,14.682539682539684
luke babbitt,87,210,41.42857142857143,79,192,41.14583333333333,8,18,44.44444444444444,3.2986111111111143,8.571428571428571
mitchell butler,0,0,0,0,0,0,0,0,0,0,0
rodney stuckey,19,60,31.666666666666664,18,59,30.508474576271187,1,1,100,69.49152542372882,1.6666666666666667
boban marjanovic,0,0,0,0,0,0,0,0,0,0,0
danilo gallinari,126,324,38.88888888888889,115,297,38.72053872053872,11,27,40.74074074074074,2.0202020202020208,8.333333333333332
j.j. barea,53,148,35.810810810810814,50,134,37.3134328358209,3,14,21.428571428571427,-15.88486140724947,9.45945945945946
kevin gamble,0,0,0,0,0,0,0,0,0,0,0
pat connaughton,17,33,51.515151515151516,16,31,51.61290322580645,1,2,50,-1.6129032258064484,6.0606060606060606
tyler johnson,93,250,37.2,90,234,38.46153846153847,3,16,18.75,-19.711538461538467,6.4
d'angelo russell,135,384,35.15625,114,319,35.73667711598746,21,65,32.30769230769231,-3.428984808295155,16.927083333333336
ian mahinmi,0,0,0,0,0,0,0,0,0,0,0
jerryd bayless,2,5,40,2,5,40,0,0,0,-40,0
juwan howard,0,0,0,0,0,0,0,0,0,0,0
patricio garino,0,5,0,0,5,0,0,0,0,0,0
bobby phills,0,0,0,0,0,0,0,0,0,0,0
henry ellenson,10,35,28.57142857142857,8,32,25,2,3,66.66666666666666,41.66666666666666,8.571428571428571
khris middleton,45,104,43.269230769230774,42,94,44.680851063829785,3,10,30,-14.680851063829785,9.615384615384617
michael beasley,18,43,41.86046511627907,18,42,42.857142857142854,0,1,0,-42.857142857142854,2.3255813953488373
treveon graham,9,15,60,9,15,60,0,0,0,-60,0
doc rivers,0,0,0,0,0,0,0,0,0,0,0
popeye jones,0,0,0,0,0,0,0,0,0,0,0
bobby portis,32,96,33.33333333333333,30,87,34.48275862068966,2,9,22.22222222222222,-12.260536398467437,9.375
chris whitney,0,0,0,0,0,0,0,0,0,0,0
kelly olynyk,68,192,35.41666666666667,65,180,36.11111111111111,3,12,25,-11.111111111111107,6.25
kyle korver,162,359,45.12534818941504,150,313,47.92332268370607,12,46,26.08695652173913,-21.83636616196694,12.813370473537605
norris cole,3,13,23.076923076923077,3,12,25,0,1,0,-25,7.6923076923076925
otto porter jr.,148,341,43.401759530791786,134,307,43.648208469055376,14,34,41.17647058823529,-2.4717378808200863,9.970674486803519
pascal siakam,1,7,14.285714285714285,1,7,14.285714285714285,0,0,0,-14.285714285714285,0
brandon bass,1,3,33.33333333333333,1,3,33.33333333333333,0,0,0,-33.33333333333333,0
bryn forbes,17,53,32.075471698113205,16,50,32,1,3,33.33333333333333,1.3333333333333286,5.660377358490567
damjan rudez,20,64,31.25,19,62,30.64516129032258,1,2,50,19.35483870967742,3.125
kyle wiltjer,4,13,30.76923076923077,3,12,25,1,1,100,75,7.6923076923076925
lamar patterson,1,6,16.666666666666664,1,6,16.666666666666664,0,0,0,-16.666666666666664,0
mike dunleavy,53,134,39.55223880597015,48,124,38.70967741935484,5,10,50,11.29032258064516,7.462686567164178
rashad vaughn,26,81,32.098765432098766,21,68,30.88235294117647,5,13,38.46153846153847,7.579185520361996,16.049382716049383
tim frazier,40,128,31.25,39,123,31.70731707317073,1,5,20,-11.707317073170731,3.90625
wayne ellington,149,394,37.81725888324873,128,333,38.43843843843844,21,61,34.42622950819672,-4.012208930241719,15.48223350253807
anthony brown,7,27,25.925925925925924,6,25,24,1,2,50,26,7.4074074074074066
darrun hilliard,12,46,26.08695652173913,10,42,23.809523809523807,2,4,50,26.190476190476193,8.695652173913043
greg graham,0,0,0,0,0,0,0,0,0,0,0
jeremy lin,58,156,37.17948717948718,54,140,38.57142857142858,4,16,25,-13.571428571428577,10.256410256410255
joel anthony,0,0,0,0,0,0,0,0,0,0,0
kevon looney,2,9,22.22222222222222,2,9,22.22222222222222,0,0,0,-22.22222222222222,0
taurean prince,33,102,32.35294117647059,32,95,33.68421052631579,1,7,14.285714285714285,-19.398496240601503,6.862745098039216
bismack biyombo,0,0,0,0,0,0,0,0,0,0,0
dell curry,0,0,0,0,0,0,0,0,0,0,0
derrick phelps,0,0,0,0,0,0,0,0,0,0,0
mark bryant,0,0,0,0,0,0,0,0,0,0,0
p.j. brown,0,0,0,0,0,0,0,0,0,0,0
patrick mccaw,41,123,33.33333333333333,37,112,33.035714285714285,4,11,36.36363636363637,3.327922077922082,8.94308943089431
andrew lang,0,0,0,0,0,0,0,0,0,0,0
brandon ingram,55,187,29.411764705882355,52,177,29.37853107344633,3,10,30,0.6214689265536713,5.347593582887701
deandre' bembry,1,18,5.555555555555555,1,18,5.555555555555555,0,0,0,-5.555555555555555,0
jamal mashburn,0,0,0,0,0,0,0,0,0,0,0
karl-anthony towns,101,275,36.72727272727273,96,254,37.79527559055118,5,21,23.809523809523807,-13.985751781027371,7.636363636363637
kelly oubre jr.,54,188,28.723404255319153,51,178,28.651685393258425,3,10,30,1.3483146067415746,5.319148936170213
mindaugas kuzminskas,54,168,32.142857142857146,47,146,32.19178082191781,7,22,31.818181818181817,-0.3735990037359933,13.095238095238097
jeff grayer,0,0,0,0,0,0,0,0,0,0,0
robert covington,137,412,33.25242718446602,121,361,33.51800554016621,16,51,31.372549019607842,-2.1454565205583656,12.37864077669903
anthony tucker,0,0,0,0,0,0,0,0,0,0,0
jayson williams,0,0,0,0,0,0,0,0,0,0,0
jerami grant,43,116,37.06896551724138,42,113,37.16814159292036,1,3,33.33333333333333,-3.834808259587028,2.586206896551724
john lucas iii,0,1,0,0,1,0,0,0,0,0,0
jusuf nurkic,0,1,0,0,1,0,0,0,0,0,0
kosta koufos,0,1,0,0,1,0,0,0,0,0,0
michael smith,0,0,0,0,0,0,0,0,0,0,0
rajon rondo,50,133,37.59398496240601,47,127,37.00787401574803,3,6,50,12.99212598425197,4.511278195488721
stefano rusconi,0,0,0,0,0,0,0,0,0,0,0
anthony tolliver,90,230,39.130434782608695,83,208,39.90384615384615,7,22,31.818181818181817,-8.085664335664337,9.565217391304348
brad lohaus,0,0,0,0,0,0,0,0,0,0,0
damian lillard,214,579,36.96027633851468,180,482,37.344398340248965,34,97,35.051546391752574,-2.2928519484963914,16.753022452504318
domantas sabonis,51,159,32.075471698113205,46,149,30.87248322147651,5,10,50,19.12751677852349,6.289308176100629
georgios papagiannis,0,2,0,0,2,0,0,0,0,0,0
jamie watson,0,0,0,0,0,0,0,0,0,0,0
latrell sprewell,0,0,0,0,0,0,0,0,0,0,0
michael cage,0,0,0,0,0,0,0,0,0,0,0
steven adams,0,1,0,0,1,0,0,0,0,0,0
wesley johnson,29,118,24.576271186440678,27,109,24.770642201834864,2,9,22.22222222222222,-2.5484199796126425,7.627118644067797
yinka dare,0,0,0,0,0,0,0,0,0,0,0
blake griffin,38,113,33.6283185840708,37,109,33.94495412844037,1,4,25,-8.944954128440372,3.5398230088495577
gary payton ii,1,9,11.11111111111111,1,9,11.11111111111111,0,0,0,-11.11111111111111,0
grant hill,0,0,0,0,0,0,0,0,0,0,0
jarell eddie,4,16,25,3,13,23.076923076923077,1,3,33.33333333333333,10.256410256410252,18.75
jason kidd,0,0,0,0,0,0,0,0,0,0,0
mason plumlee,0,6,0,0,6,0,0,0,0,0,0
quinn cook,11,26,42.30769230769231,9,24,37.5,2,2,100,62.5,7.6923076923076925
sean kilpatrick,105,308,34.090909090909086,96,283,33.92226148409894,9,25,36,2.0777385159010606,8.116883116883116
aaron brooks,48,128,37.5,43,117,36.75213675213676,5,11,45.45454545454545,8.702408702408697,8.59375
anthony miller,0,0,0,0,0,0,0,0,0,0,0
